global_id,PRECINCT_shp,COUNTYGEOID10,COUNTYNAME10,PRECINCT_election_results,PRECINCTCODE_election_results,PRECINCT_misfit
5570,Say 6,39007,Ashtabula,PRECINCT SAYBROOK TWP. 6,AEM,
5571,Ash. 1-A,39007,Ashtabula,PRECINCT ASHTABULA 1-A,AAA,
5572,Say 3,39007,Ashtabula,PRECINCT SAYBROOK TWP. 3,AEJ,
5573,Ash. 1-C,39007,Ashtabula,PRECINCT ASHTABULA 1-C,AAC,
5574,Ash. 1-D,39007,Ashtabula,PRECINCT ASHTABULA 1-D,AAE,
5575,Ash. 2-D,39007,Ashtabula,PRECINCT ASHTABULA 2-D,AAM,
5576,Ash. 2-B,39007,Ashtabula,PRECINCT ASHTABULA 2-B,AAI,
5577,Ash Twp 3,39007,Ashtabula,PRECINCT ASHTABULA TWP. 3,ACH,
5578,Ash Twp 4,39007,Ashtabula,PRECINCT ASHTABULA TWP. 4,ACI,
5579,Ash. 3-A,39007,Ashtabula,PRECINCT ASHTABULA 3-A,AAN,
5580,Ash. 3-B,39007,Ashtabula,PRECINCT ASHTABULA 3-B,AAO,
5581,Ash. 3-D,39007,Ashtabula,PRECINCT ASHTABULA 3-D,AAQ,
5582,Ash. 3-C,39007,Ashtabula,PRECINCT ASHTABULA 3-C,AAP,
5583,Say 2,39007,Ashtabula,PRECINCT SAYBROOK TWP. 2,AEI,
5584,Ash. 4-A,39007,Ashtabula,PRECINCT ASHTABULA 4-A,AAR,
5585,Ash. 4-D,39007,Ashtabula,PRECINCT ASHTABULA 4-D,AAU,
5586,Ash. 4-B,39007,Ashtabula,PRECINCT ASHTABULA 4-B,AAS,
5587,Ash. 4-C,39007,Ashtabula,PRECINCT ASHTABULA 4-C,AAT,
5588,Ash Twp 1,39007,Ashtabula,PRECINCT ASHTABULA TWP. 1,ACD,
5589,Ply 1,39007,Ashtabula,PRECINCT PLYMOUTH TWP. 1,AEC,
5590,Ash Twp 5,39007,Ashtabula,PRECINCT ASHTABULA TWP. 5,ACJ,
5591,Ash. 5-B,39007,Ashtabula,PRECINCT ASHTABULA 5-B,AAX,
5592,Ash. 5-A,39007,Ashtabula,PRECINCT ASHTABULA 5-A,AAW,
5593,Ash. 5-D,39007,Ashtabula,PRECINCT ASHTABULA 5-D,ABA,
5594,Ash. 5-C,39007,Ashtabula,PRECINCT ASHTABULA 5-C,AAY,
5595,Ash Twp 2,39007,Ashtabula,PRECINCT ASHTABULA TWP. 2,ACG,
5596,Conn 1-A,39007,Ashtabula,PRECINCT CONNEAUT 1-A,ABB,
5597,Conn 1-B,39007,Ashtabula,PRECINCT CONNEAUT 1-B,ABC,
5598,Conn 4-A,39007,Ashtabula,PRECINCT CONNEAUT 4-A,ABN,
5599,Monroe 2,39007,Ashtabula,PRECINCT MONROE TWP. 2,ADR,
5600,Conn 2-C,39007,Ashtabula,PRECINCT CONNEAUT 2-C,ABI,
5601,Conn 1-C,39007,Ashtabula,PRECINCT CONNEAUT 1-C,ABD,
5602,Conn 3-D,39007,Ashtabula,PRECINCT CONNEAUT 3-D,ABM,
5603,Conn 2-B,39007,Ashtabula,PRECINCT CONNEAUT 2-B,ABG,
5604,Conn 2-A,39007,Ashtabula,PRECINCT CONNEAUT 2-A,ABF,
5605,Conn 3-B,39007,Ashtabula,PRECINCT CONNEAUT 3-B,ABK,
5606,Conn 3-A,39007,Ashtabula,PRECINCT CONNEAUT 3-A,ABJ,
5607,Conn 3-C,39007,Ashtabula,PRECINCT CONNEAUT 3-C,ABL,
5608,Conn 4-B,39007,Ashtabula,PRECINCT CONNEAUT 4-B,ABO,
5609,Gen City 4,39007,Ashtabula,PRECINCT GENEVA 4,ABV,
5610,Gen City 1,39007,Ashtabula,PRECINCT GENEVA 1,ABR,
5611,Gen Twp 3,39007,Ashtabula,PRECINCT GENEVA TWP. 3,ACX,
5612,Gen City 5,39007,Ashtabula,PRECINCT GENEVA 5,ABW,
5613,Gen City 2,39007,Ashtabula,PRECINCT GENEVA 2,ABS,
5614,Gen City 3,39007,Ashtabula,PRECINCT GENEVA 3,ABT,
5615,Gen City 6,39007,Ashtabula,PRECINCT GENEVA 6,ABX,
5616,Ash Twp 6,39007,Ashtabula,PRECINCT ASHTABULA TWP. 6,ACM,
5617,Say 4,39007,Ashtabula,PRECINCT SAYBROOK TWP. 4,AEK,
5618,N Kings 1,39007,Ashtabula,PRECINCT N KINGS VILL 1,ADV,
5619,N Kings 3,39007,Ashtabula,PRECINCT N KINGS VILL 3,ADX,
